Branch,Division,Group,Item,Qty,Total Amount
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,ESPRESSO,3313,500103.75
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO,3200,498631.33
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO SMALL,902,176816.53
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO MEDIUM,657,152807.36
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO LARGE,334,88443.43
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE SMALL,823,133384.23
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE MEDIUM,307,62723.78
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE LARGE,86,19908.92
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE ESPRESSO MACC,32,5156.93
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO MAC,35,6595.68
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,TRIPLE ESPRESSO,197,7654.17
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE LONGO,49,8386.67
Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE LONGO,124,22702.34
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE SMALL,2306,450232.62
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE MEDIUM,2972,692532.04
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO SMALL,761,156288.19
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO MEDIUM,727,173038.73
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA SMALL,318,71402.39
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA MEDIUM,309,83249.79
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA SMALL,2803,516236.82
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA MEDIUM,1880,494665.9
