Branch,Department,Division,Item,Qty,Total Price,Total Cost,Total Cost %,Total Profit,Total Profit %
Stories - Bir Hasan,Take Away,COLD BAR SECTION,1 SHOT DECAFE,404.0,0.0,3856.85,0.0,-3856.85,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,2 SHOT DECAFE,637.0,0.0,12162.45,0.0,-12162.45,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,3 SHOT DECAFE,113.0,0.0,3236.32,0.0,-3236.32,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD BANANA SAUCE LARGE,4.0,266.67,139.97,52.49,126.69,47.51
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD BANANA SAUCE MEDIUM,47.0,1487.39,822.34,55.29,665.04,44.71
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD BANANA SAUCE SMALL,28.0,893.72,489.91,54.82,403.82,45.18
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL DRIZZLE,700.0,23370.36,2349.38,10.05,21020.99,89.95
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL LARGE,313.0,10488.5,2690.19,25.65,7798.31,74.35
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL MEDIUM,1142.0,37584.33,8923.01,23.74,28661.32,76.26
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL SF LARGE,236.0,7889.52,3097.89,39.27,4791.63,60.73
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL SF MEDIUM,851.0,28513.0,8378.09,29.38,20134.91,70.62
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL SF SMALL,848.0,28567.21,5565.71,19.48,23001.5,80.52
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CARAMEL SMALL,552.0,12662.43,2875.37,22.71,9787.07,77.29
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD CHOCOLATE DRIZZLE,227.0,7703.96,748.5,9.72,6955.46,90.28
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD FULL FAT MILK,20.0,0.0,67.12,0.0,-67.12,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD HAZELNUT LARGE,104.0,3530.54,1126.27,31.9,2404.27,68.1
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD HAZELNUT MEDIUM,324.0,10677.66,3189.78,29.87,7487.88,70.13
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD HAZELNUT SMALL,283.0,9072.88,1857.42,20.47,7215.46,79.53
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MATCHA LARGE,3.0,186.19,139.62,74.99,46.57,25.01
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MATCHA MEDIUM,1.0,54.05,37.23,68.88,16.82,31.12
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MATCHA SMALL,4.0,180.18,111.7,61.99,68.48,38.01
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MOCHA LARGE,42.0,1434.74,830.94,57.92,603.81,42.08
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MOCHA MEDIUM,70.0,2373.27,1038.67,43.77,1334.6,56.23
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD MOCHA SMALL,25.0,622.25,247.3,39.74,374.95,60.26
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD RASPBERRY SAUCE LARGE,26.0,1746.67,819.66,46.93,927.0,53.07
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD RASPBERRY SAUCE MEDIUM,69.0,2303.33,1087.63,47.22,1215.7,52.78
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD RASPBERRY SAUCE SMALL,61.0,2033.33,961.53,47.29,1071.81,52.71
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD SHOT,6260.5,181530.12,55471.16,30.56,126058.96,69.44
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD SKIMMED MILK,4.0,0.0,13.43,0.0,-13.43,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD TOFFEE NUT MEDIUM,6.0,200.03,95.77,47.88,104.26,52.12
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD TOFFEE NUT SMALL,5.0,120.12,59.86,49.83,60.26,50.17
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD VANILLA LARGE,405.0,13562.16,4641.21,34.22,8920.95,65.78
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD VANILLA MEDIUM,1041.0,34379.7,8133.85,23.66,26245.86,76.34
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD VANILLA SF LARGE,403.0,13469.4,5819.05,43.2,7650.35,56.8
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ADD VANILLA SF MEDIUM,1243.0,40685.77,12237.33,30.08,28448.43,69.92
