Level,Name,Branch,Division,Group,Qty,Total Amount
Group,BLACK COFFEE,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,10059,1683315.12
Group,MIXED HOT BEVERAGE,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,22591,5059071.62
Group,TEA,Stories - Bir Hasan,HOT BAR SECTION,TEA,664,89643.84
Group,BEANS,Stories - Bir Hasan,HOT BAR SECTION,BEANS,67.125,37154.35
Division,HOT BAR SECTION,Stories - Bir Hasan,HOT BAR SECTION,BEANS,33381.125,6869184.94
Group,MIXED COLD BEVERAGES,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,22639,5360581.63
Group,BLENDED BRINKS,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,13530,3510984.68
Group,ICE TEA,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,577,98610.48
Group,ADD SYRUP,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,32117,1084265.56
Group,REPLACE,Stories - Bir Hasan,COLD BAR SECTION,REPLACE,17068,435481.77
Division,COLD BAR SECTION,Stories - Bir Hasan,COLD BAR SECTION,REPLACE,85931,10489924.12
Group,SOFT DRINKS,Stories - Bir Hasan,GRAB&GO BEVERAGES,SOFT DRINKS,18260,1054749.33
Division,GRAB&GO BEVERAGES,Stories - Bir Hasan,GRAB&GO BEVERAGES,SOFT DRINKS,18260,1054749.33
Group,COFFEE PASTRY,Stories - Bir Hasan,COFFEE PASTRY,COFFEE PASTRY,3642,932850.93
Division,COFFEE PASTRY,Stories - Bir Hasan,COFFEE PASTRY,COFFEE PASTRY,3642,932850.93
Group,CROISSANT,Stories - Bir Hasan,CROISSANT,CROISSANT,1953,407986.13
Division,CROISSANT,Stories - Bir Hasan,CROISSANT,CROISSANT,1953,407986.13
Group,COOKIES,Stories - Bir Hasan,COOKIES,COOKIES,800,259414.41
Division,COOKIES,Stories - Bir Hasan,COOKIES,COOKIES,800,259414.41
Group,FRENCH PASTRY,Stories - Bir Hasan,FRENCH PASTRY,FRENCH PASTRY,1651,467402.82
Division,FRENCH PASTRY,Stories - Bir Hasan,FRENCH PASTRY,FRENCH PASTRY,1651,467402.82
Group,COMBO TOPPINGS,Stories - Bir Hasan,FROZEN YOGHURT,COMBO TOPPINGS,55956,0
Group,TOPPINGS,Stories - Bir Hasan,FROZEN YOGHURT,TOPPINGS,3921,279572.31
Group,LUXURY TOPPINGS,Stories - Bir Hasan,FROZEN YOGHURT,LUXURY TOPPINGS,3452,364830.6
Group,FROZEN YOGHURT,Stories - Bir Hasan,FROZEN YOGHURT,FROZEN YOGHURT,17194.9,6127181.16
Group,SPECIALTY YOGHURT,Stories - Bir Hasan,FROZEN YOGHURT,SPECIALTY YOGHURT,30.5,7196.67
Division,FROZEN YOGHURT,Stories - Bir Hasan,FROZEN YOGHURT,SPECIALTY YOGHURT,80554.4,6778780.74
Group,PLAT DU JOUR,Stories - Bir Hasan,PLAT DE JOUR,PLAT DU JOUR,494,311972.97
Division,PLAT DE JOUR,Stories - Bir Hasan,PLAT DE JOUR,PLAT DU JOUR,494,311972.97
Group,SUB SANDWICHES,Stories - Bir Hasan,SANDWICHES,SUB SANDWICHES,6619,1778959.16
Division,SANDWICHES,Stories - Bir Hasan,SANDWICHES,SUB SANDWICHES,6619,1778959.16
Group,CINNAMONS,Stories - Bir Hasan,CINNAMON ROLLS,CINNAMONS,3056,863557.66
Division,CINNAMON ROLLS,Stories - Bir Hasan,CINNAMON ROLLS,CINNAMONS,3056,863557.66
Group,PACKAGING,Stories - Bir Hasan,CARTON,PACKAGING,1212,0
Division,CARTON,Stories - Bir Hasan,CARTON,PACKAGING,1212,0
Group,NOT USED,Stories - Bir Hasan,NOT USED,NOT USED,1579.5,417758.86
Division,NOT USED,Stories - Bir Hasan,NOT USED,NOT USED,1579.5,417758.86
Group,ADD ONS,Stories - Bir Hasan,SUBS,ADD ONS,1679.5,181272.91
Division,SUBS,Stories - Bir Hasan,SUBS,ADD ONS,1679.5,181272.91
Group,PACKAGED FOOD,Stories - Bir Hasan,GRAB&GO FOOD,PACKAGED FOOD,1112,158906.25
Group,SALADS,Stories - Bir Hasan,GRAB&GO FOOD,SALADS,766,356091.17
Group,FRUITS,Stories - Bir Hasan,GRAB&GO FOOD,FRUITS,296,86266.7
Group,PACKAGED DESSERT,Stories - Bir Hasan,GRAB&GO FOOD,PACKAGED DESSERT,213,78348.35
Division,GRAB&GO FOOD,Stories - Bir Hasan,GRAB&GO FOOD,PACKAGED DESSERT,2387,679612.46
Group,DONUTS,Stories - Bir Hasan,DONUTS,DONUTS,537,109429.19
Division,DONUTS,Stories - Bir Hasan,DONUTS,DONUTS,537,109429.19
Branch,Stories - Bir Hasan,Stories - Bir Hasan,DONUTS,DONUTS,243736.53,31602856.65
Group,BLACK COFFEE,Stories Centro Mall,HOT BAR SECTION,BLACK COFFEE,8879,1540187.75
Group,MIXED HOT BEVERAGE,Stories Centro Mall,HOT BAR SECTION,MIXED HOT BEVERAGE,23795,5192831.57
Group,TEA,Stories Centro Mall,HOT BAR SECTION,TEA,742,108660.06
Group,BEANS,Stories Centro Mall,HOT BAR SECTION,BEANS,46.5,25741.74
Division,HOT BAR SECTION,Stories Centro Mall,HOT BAR SECTION,BEANS,33462.5,6867421.12
Group,MIXED COLD BEVERAGES,Stories Centro Mall,COLD BAR SECTION,MIXED COLD BEVERAGES,21673,5033128.89
Group,BLENDED BRINKS,Stories Centro Mall,COLD BAR SECTION,BLENDED BRINKS,24749,6148252.03
Group,ICE TEA,Stories Centro Mall,COLD BAR SECTION,ICE TEA,1095,212822.82
Group,ADD SYRUP,Stories Centro Mall,COLD BAR SECTION,ADD SYRUP,24401,745264.88
Group,REPLACE,Stories Centro Mall,COLD BAR SECTION,REPLACE,7945,209784.93
Division,COLD BAR SECTION,Stories Centro Mall,COLD BAR SECTION,REPLACE,79863,12349253.56
Group,SOFT DRINKS,Stories Centro Mall,GRAB&GO BEVERAGES,SOFT DRINKS,25355,1333212.29
Division,GRAB&GO BEVERAGES,Stories Centro Mall,GRAB&GO BEVERAGES,SOFT DRINKS,25355,1333212.29
Group,COFFEE PASTRY,Stories Centro Mall,COFFEE PASTRY,COFFEE PASTRY,6634,1763880.19
Division,COFFEE PASTRY,Stories Centro Mall,COFFEE PASTRY,COFFEE PASTRY,6634,1763880.19
Group,CROISSANT,Stories Centro Mall,CROISSANT,CROISSANT,2789,564457.06
Division,CROISSANT,Stories Centro Mall,CROISSANT,CROISSANT,2789,564457.06
Group,PIZZA,Stories Centro Mall,PIZZA,PIZZA,0,0
Division,PIZZA,Stories Centro Mall,PIZZA,PIZZA,0,0
Group,COOKIES,Stories Centro Mall,COOKIES,COOKIES,908,287240.24
Division,COOKIES,Stories Centro Mall,COOKIES,COOKIES,908,287240.24
