Stories,,,,
Sales by Items By Group,,,,
19-Jan-26,Years:2025 Months:0,,Page 1 of,359
Description,Barcode,Qty,Total Amount,
Branch: Stories - Bir Hasan,,,,
Division: HOT BAR SECTION,,,,
Group: BLACK COFFEE,,,,
ESPRESSO,,3313,"500,103.75",
DOUBLE ESPRESSO,,3200,"498,631.33",
AMERICANO SMALL,,902,"176,816.53",
AMERICANO MEDIUM,,657,"152,807.36",
AMERICANO LARGE,,334,"88,443.43",
BLACK COFFEE SMALL,,823,"133,384.23",
BLACK COFFEE MEDIUM,,307,"62,723.78",
BLACK COFFEE LARGE,,86,"19,908.92",
SINGLE ESPRESSO MACC,,32,"5,156.93",
DOUBLE ESPRESSO MAC,,35,"6,595.68",
TRIPLE ESPRESSO,,197,"7,654.17",
SINGLE LONGO,,49,"8,386.67",
DOUBLE LONGO,,124,"22,702.34",
Total by Group: BLACK COFFEE,,10059,"1,683,315.12",
Group: MIXED HOT BEVERAGE,,,,
LATTE SMALL,,2306,"450,232.62",
LATTE MEDIUM,,2972,"692,532.04",
CAPPUCCINO SMALL,,761,"156,288.19",
CAPPUCCINO MEDIUM,,727,"173,038.73",
MOCHA SMALL,,318,"71,402.39",
MOCHA MEDIUM,,309,"83,249.79",
WHITE MOCHA SMALL,,2803,"516,236.82",
WHITE MOCHA MEDIUM,,1880,"494,665.90",
CARAMEL MACHIATO SMALL,,863,"198,199.66",
CARAMEL MACHIATO MEDIUM,,886,"238,232.93",
SIGNATURE HOT CHOCOLATE SMALL,,571,"126,013.54",
SIGNATURE HOT CHOCOLATE MEDIUM,,449,"122,577.42",
STEAMED MILK SMALL,,37,"3,913.27",
STEAMED MILK MEDIUM,,12,"2,040.69",
LATTE LARGE,,643,"178,481.32",
MOCHA  LARGE,,60,"18,357.75",
CAPPUCCINO LARGE,,193,"54,282.16",
19-Jan-26,Years:2025 Months:0,,Page 2 of,359
Description,Barcode,Qty,Total Amount,
STEAMED MILK LARGE,,1,200,
WHITE MOCHA LARGE,,317,"98,680.75",
CARAMEL MACCHIATO LARGE,,115,"36,413.12",
MATCHA LATTE SMALL,,299,"58,144.38",
MATCHA LATTE MEDIUM,,471,"111,569.05",
MATCHA LATTE LARGE,,101,"28,462.82",
FLAT WHITE,,2179,"283,608.31",
HOT DOUBLE SHOT SMALL,,335,"69,481.29",
HOT DOUBLE SHOT MEDIUM,,185,"50,738.26",
HOT DOUBLE SHOT LARGE,,44,"15,241.14",
TOFFEE NUT LATTE MEDIUM,,319,"86,903.42",
TOFFEE NUT LATTE SMALL,,294,"69,249.85",
CLASSIC HOT CHOC SMALL,,108,"23,802.17",
CLASSIC HOT CHOC MEDIUM,,107,"28,729.95",
HOT DOUBLE SHOT TOFFEE NUT SMALL,,5,"1,375.38",
HOT DOUBLE SHOT TOFFEE NUT MEDIUM,,3,924.32,
CLASSIC HOT CHOC LARGE,,26,"8,287.96",
SPANISH LATTE SMALL,,768,"174,998.26",
SPANISH LATTE MEDIUM,,578,"176,355.72",
SALTED CARAMEL LATTE SMALL,,144,"34,067.75",
SALTED CARAMEL LATTE MEDIUM,,221,"62,348.23",
SALTED CARAMEL LATTE LARGE,,32,"11,130.93",
SIGNATURE HOT CHOCOLATE LARGE,,106,"33,558.38",
TOFFEE NUT LATTE LARGE,,43,"15,054.95",
Total by Group: MIXED HOT BEVERAGE,,22591,"5,059,071.62",
Group: TEA,,,,
ENGLISH BREAKFAST TEA MEDIUM,,166,"23,935.89",
EARL GREY LAVENDER TEA MEDIUM,,72,"10,251.35",
ORGANIC GREEN TEA MEDIUM,,94,"13,557.06",
SOUTHERN MINT HERBAL TEA MEDIUM,,56,"8,577.03",
ADD ENGLISH BREAKFAST TEA BAG,,8,292.79,
ADD EARL GREY LAVENDER  BAG,,12,426.13,
ADD GREEN TEA BAG,,6,200,
ADD SOUTHERN MINT HERBAL TEA BAG,,9,300,
GOLDEN CHAMOMILE HERBAL TEA MEDIUM,,62,"9,030.03",
SWEET GINGER PEACH BLACK TEA MEDIUM,,68,"10,192.19",
ADD GOLDEN CHAMOMILE HERBAL TEA BAG,,10,333.33,
19-Jan-26,Years:2025 Months:0,,Page 3 of,359
Description,Barcode,Qty,Total Amount,
ADD SWEET GINGER PEACH BLACK  TEA BAG,,15,517.42,
BOMBAY CHAI BLACK TEA MEDIUM,,41,"6,000.00",
ADD BOMBAY CHAI TEA BAG,,6,200,
MEDITERRANEAN CARAMEL TEA MEDIUM,,20,"3,358.86",
LEMONGRASS&ORANGE TEA MEDIUM,,16,"2,354.35",
ADD MEDITERRANEAN CARAMEL TEA BAG,,1,33.33,
ADD LEMONGRASS&ORANGE TEA BAG,,2,84.08,
Total by Group: TEA,,664,"89,643.84",
Group: BEANS,,,,
YIRGACHEFFE BEANS 250G,,22,"13,939.94",
HOUSE BLEND BEANS 250G,,45.125,"23,214.41",
Total by Group: BEANS,,67.125,"37,154.35",
Total by Division: HOT BAR SECTION,,33381.125,"6,869,184.94",
Division: COLD BAR SECTION,,,,
Group: MIXED COLD BEVERAGES,,,,
ICED AMERICANO SMALL,,329,"60,657.16",
ICED AMERICANO MEDIUM,,348,"81,989.20",
ICED LATTE SMALL,,1888,"295,020.42",
ICED LATTE MEDIUM,,2605,"621,121.77",
ICED MOCHA SMALL,,338,"54,684.68",
ICED MOCHA MEDIUM,,339,"92,755.56",
ICED WHITE MOCHA SMALL,,1249,"256,086.85",
